0 47256 47256
         28681721 function calls (28666075 primitive calls) in 20.833 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4881    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
      202    0.000    0.000    0.001    0.000 gzip.py:467(_read_gzip_header)
      329    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
      867    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      289    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      198    0.001    0.000    0.001    0.000 gzip.py:529(_read_eof)
       65    0.000    0.000    0.001    0.000 deprecation.py:128(deprecate)
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
      169    0.001    0.000    0.001    0.000 colors.py:310(_to_rgba_no_colorcycle)
        2    0.000    0.000    0.001    0.001 core.py:5996(srange)
    31453    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
       67    0.000    0.000    0.001    0.000 core.py:3948(__init__)
      768    0.001    0.000    0.001    0.000 inspect.py:735(unwrap)
    11195    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      351    0.001    0.000    0.001    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:94(_add_aliases)
      202    0.001    0.000    0.001    0.000 gzip.py:418(_read_gzip_header)
    38/18    0.000    0.000    0.001    0.000 core.py:4566(parseImpl)
       67    0.000    0.000    0.001    0.000 colors.py:1089(reversed)
       70    0.000    0.000    0.001    0.000 deprecation.py:257(rename_parameter)
     1740    0.001    0.000    0.001    0.000 gzip.py:99(prepend)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
     7898    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      333    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:922(find_spec)
     6622    0.001    0.000    0.001    0.000 enum.py:1096(__new__)
4114/3944    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      418    0.001    0.000    0.001    0.000 enum.py:1504(__and__)
    45/12    0.000    0.000    0.001    0.000 typing.py:1392(_determine_new_args)
        1    0.000    0.000    0.001    0.001 _char_codes.py:1(<module>)
       26    0.000    0.000    0.001    0.000 deprecation.py:416(make_keyword_only)
      256    0.000    0.000    0.001    0.000 typing.py:245(_collect_parameters)
       39    0.000    0.000    0.001    0.000 typing.py:467(__getitem__)
    26/14    0.000    0.000    0.001    0.000 core.py:4287(parseImpl)
      352    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
       67    0.000    0.000    0.001    0.000 colors.py:1108(<dictcomp>)
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
      750    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
        5    0.000    0.000    0.001    0.000 __init__.py:108(import_module)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1194(_gcd_import)
