[24-11-05 14:32:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:32:47] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:35:27] 156    -6040.03 [    14989.1   29194.8  848667.3    1598.7    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:28] 157    -6039.78 [    14989.1   29194.8  848667.3    1611.3    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:29] 158    -6039.78 [    14989.1   29194.8  848667.3    1611.3    2965.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:30] 159    -6039.96 [    14989.1   29194.8  848667.3    1611.3    2966.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:31] 160     -6039.5 [    14989.1   29194.8  848667.3    1611.3    2964.2   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:32] 161    -6035.52 [    14989.1   29194.8  848667.3    1611.3    2917.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:34] 162    -6045.06 [    14989.1   29194.8  848667.3    1611.3    2842.8   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:34] 163    -6036.88 [    14989.1   29194.8  848667.3    1611.3    2889.2   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:35] 164    -6036.13 [    14989.1   29194.8  848667.3    1611.3    2935.6   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:36] 165    -6035.52 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:36] 166    -6035.52 [    14989.1   29194.8  848667.3    1611.3    2916.5   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:37] 167    -6035.52 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:39] 168    -6035.52 [    14989.1   29194.8  848667.3    1611.3    2917.0   27010.1   31683.1  8.94e-06 ]
[24-11-05 14:35:40] 169    -6035.52 [    14989.1   29194.8  848667.3    1611.3    2917.0   27011.7   31683.1  8.94e-06 ]
[24-11-05 14:35:41] 170    -6035.52 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   31683.1  8.94e-06 ]
[24-11-05 14:35:42] 171    -6035.74 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   31684.1  8.94e-06 ]
[24-11-05 14:35:44] 172    -6035.18 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   31681.5  8.94e-06 ]
[24-11-05 14:35:45] 173     -5998.9 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   31505.1  8.94e-06 ]
[24-11-05 14:35:46] 174    -5802.67 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29213.7  8.94e-06 ]
[24-11-05 14:35:48] 175    -6941.09 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   25506.2  8.94e-06 ]
[24-11-05 14:35:49] 176    -5987.88 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   27797.6  8.94e-06 ]
[24-11-05 14:35:50] 177    -5812.76 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   30089.0  8.94e-06 ]
[24-11-05 14:35:51] 178    -5796.19 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29558.5  8.94e-06 ]
[24-11-05 14:35:53] 179    -5796.19 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.94e-06 ]
[24-11-05 14:35:54] 180    -5796.24 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29515.8  8.94e-06 ]
[24-11-05 14:35:55] 181    -5796.19 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.94e-06 ]
[24-11-05 14:35:56] 196  -247045.75 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  5.06e-04 ]
[24-11-05 14:35:58] 197  -237853.74 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  2.57e-04 ]
[24-11-05 14:35:59] 198  -207123.29 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  1.04e-04 ]
[24-11-05 14:36:00] 199  -136982.09 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  4.52e-05 ]
[24-11-05 14:36:01] 201   -56312.93 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  2.28e-05 ]
[24-11-05 14:36:03] 202    -91826.6 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  1.86e-07 ]
[24-11-05 14:36:04] 203   -12857.04 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  1.28e-05 ]
[24-11-05 14:36:05] 204   -12566.02 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  5.86e-06 ]
[24-11-05 14:36:06] 205    -5888.54 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  9.29e-06 ]
[24-11-05 14:36:08] 206    -5795.99 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.93e-06 ]
[24-11-05 14:36:09] 207    -5794.92 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
[24-11-05 14:36:10] 208    -5794.92 [    14989.1   29194.8  848667.3    1611.3    2917.0   27009.1   29537.3  8.89e-06 ]
