[24-11-05 11:25:43] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:25:43] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:27:05] 138   -13705.07 [   699804.4   13414.8  588357.3    1341.3    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:06] 139   -13702.64 [   699804.4   13414.8  588357.3    1319.2    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:07] 140   -13702.01 [   699804.4   13414.8  588357.3    1297.1    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:07] 141   -13701.99 [   699804.4   13414.8  588357.3    1300.3    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:08] 142    -13702.0 [   699804.4   13414.8  588357.3    1302.3    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:09] 143   -13701.99 [   699804.4   13414.8  588357.3    1300.3    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:09] 144   -13701.82 [   699804.4   13414.8  588357.3    1300.3    2571.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:10] 145   -13701.55 [   699804.4   13414.8  588357.3    1300.3    2573.3   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:11] 146   -13698.23 [   699804.4   13414.8  588357.3    1300.3    2615.3   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:11] 147   -13707.83 [   699804.4   13414.8  588357.3    1300.3    2683.4   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:12] 148   -13699.67 [   699804.4   13414.8  588357.3    1300.3    2641.3   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:13] 149   -13698.69 [   699804.4   13414.8  588357.3    1300.3    2599.3   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:14] 150   -13698.23 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:14] 151   -13698.23 [   699804.4   13414.8  588357.3    1300.3    2614.0   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:15] 152   -13698.23 [   699804.4   13414.8  588357.3    1300.3    2614.9   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:16] 153   -13698.23 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:16] 154   -13698.23 [   699804.4   13414.8  588357.3    1300.3    2614.4   20791.2   25225.1  9.75e-06 ]
[24-11-05 11:27:17] 155   -13698.23 [   699804.4   13414.8  588357.3    1300.3    2614.4   20792.8   25225.1  9.75e-06 ]
[24-11-05 11:27:18] 156   -13698.23 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:27:18] 157   -13698.17 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25226.1  9.75e-06 ]
[24-11-05 11:27:19] 158   -13698.08 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25227.7  9.75e-06 ]
[24-11-05 11:27:20] 159   -13689.64 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25404.1  9.75e-06 ]
[24-11-05 11:27:20] 160   -13681.94 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25783.9  9.75e-06 ]
[24-11-05 11:27:21] 161   -13697.94 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   26398.5  9.75e-06 ]
[24-11-05 11:27:22] 162   -13684.04 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   26018.7  9.75e-06 ]
[24-11-05 11:27:22] 163   -13683.23 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25638.8  9.75e-06 ]
[24-11-05 11:27:23] 164   -13681.92 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  9.75e-06 ]
[24-11-05 11:27:24] 165   -13681.92 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25800.2  9.75e-06 ]
[24-11-05 11:27:25] 166   -13681.92 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25811.8  9.75e-06 ]
[24-11-05 11:27:25] 167   -13681.92 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  9.75e-06 ]
[24-11-05 11:27:26] 182  -151689.32 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  5.06e-04 ]
[24-11-05 11:27:27] 183  -143232.46 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  2.58e-04 ]
[24-11-05 11:27:27] 184  -116849.62 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  1.05e-04 ]
[24-11-05 11:27:28] 185   -69025.08 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0   4.6e-05 ]
[24-11-05 11:27:29] 187   -30586.02 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  2.36e-05 ]
[24-11-05 11:27:29] 188   -33460.35 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  1.00e-06 ]
[24-11-05 11:27:30] 189   -14778.71 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  1.27e-05 ]
[24-11-05 11:27:31] 190   -13868.59 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  8.86e-06 ]
[24-11-05 11:27:31] 191   -13678.17 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0    1.e-05 ]
[24-11-05 11:27:32] 192   -13677.24 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  9.92e-06 ]
[24-11-05 11:27:33] 193   -13677.24 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  9.92e-06 ]
[24-11-05 11:27:33] 194   -13677.24 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  9.92e-06 ]
[24-11-05 11:27:34] 195   -12228.44 [   729279.8   17645.9  592611.2    1496.2    2658.2   20790.2   26386.9  1.01e-05 ]
[24-11-05 11:27:35] 196   -13677.24 [   699804.4   13414.8  588357.3    1300.3    2614.4   20790.2   25806.0  9.92e-06 ]
[24-11-05 11:27:36] 197   -12228.44 [   729279.8   17645.9  592611.2    1496.2    2658.2   20790.2   26386.9  1.01e-05 ]
[24-11-05 11:27:36] 198   -10426.36 [   776972.0   24491.9  599494.2    1813.1    2729.0   20790.2   27326.9  1.04e-05 ]
[24-11-05 11:27:37] 199   -10782.85 [   881382.5   39479.7  614562.8    2507.0    2884.0   20790.2   29384.6   1.1e-05 ]
[24-11-05 11:27:38] 200    -9692.61 [   816853.3   30216.8  605249.9    2078.1    2788.2   20790.2   28112.9  1.06e-05 ]
[24-11-05 11:27:38] 201    -9722.22 [   841501.3   33754.9  608807.1    2241.9    2824.8   20790.2   28598.6  1.07e-05 ]
[24-11-05 11:27:39] 202    -9654.05 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  1.07e-05 ]
[24-11-05 11:27:40] 203    -9654.23 [   828473.6   31884.8  606926.9    2155.4    2805.5   20790.2   28341.9  1.07e-05 ]
[24-11-05 11:27:40] 204    -9654.97 [   825925.7   31519.1  606559.2    2138.4    2801.7   20790.2   28291.7  1.07e-05 ]
[24-11-05 11:27:41] 205    -9654.05 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  1.07e-05 ]
[24-11-05 11:27:42] 220  -220042.15 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  5.07e-04 ]
[24-11-05 11:27:42] 221  -208191.36 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  2.59e-04 ]
[24-11-05 11:27:43] 222  -170266.49 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  1.06e-04 ]
[24-11-05 11:27:44] 223  -100672.75 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  4.69e-05 ]
[24-11-05 11:27:44] 225   -41839.34 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  2.45e-05 ]
[24-11-05 11:27:45] 226   -27190.01 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  1.91e-06 ]
[24-11-05 11:27:46] 227   -10498.25 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  1.15e-05 ]
[24-11-05 11:27:46] 228    -8989.33 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8   9.5e-06 ]
[24-11-05 11:27:47] 229   -10452.02 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8   6.6e-06 ]
[24-11-05 11:27:48] 230    -8898.81 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8    9.e-06 ]
[24-11-05 11:27:49] 231    -8896.16 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  8.86e-06 ]
[24-11-05 11:27:49] 232    -8895.87 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  8.89e-06 ]
[24-11-05 11:27:50] 233    -8895.95 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  8.91e-06 ]
[24-11-05 11:27:51] 234    -8895.87 [   827199.6   31701.9  606743.1    2146.9    2803.6   20790.2   28316.8  8.89e-06 ]
[24-11-05 11:27:51] 235    -8895.91 [   827199.6   31702.9  606743.1    2146.9    2803.6   20790.2   28316.8  8.89e-06 ]
[24-11-05 11:27:52] 236    -8895.81 [   827199.6   31700.3  606743.1    2146.9    2803.6   20790.2   28316.8  8.89e-06 ]
[24-11-05 11:27:53] 237    -8888.78 [   827199.6   31524.0  606743.1    2146.9    2803.6   20790.2   28316.8  8.89e-06 ]
[24-11-05 11:27:53] 238    -8871.48 [   827199.6   23700.8  606743.1    2146.9    2803.6   20790.2   28316.8  8.89e-06 ]
[24-11-05 11:27:54] 239   -16300.46 [   827199.6   11042.7  606743.1    2146.9    2803.6   20790.2   28316.8  8.89e-06 ]
[24-11-05 11:27:55] 240     -9589.6 [   827199.6   18865.9  606743.1    2146.9    2803.6   20790.2   28316.8  8.89e-06 ]
