[24-11-05 14:46:12] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:46:12] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:49:08] 164    -9008.21 [    14003.5135196130.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:09] 165    -9008.19 [    14003.5165755288.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:11] 166    -9008.17 [    14003.5215201044.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:12] 167    -9008.16 [    14003.5258072228.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:13] 168    -9008.14 [    14003.5327439263.1  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:14] 169    -9008.14 [    14003.5400352267.1  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:16] 170    -9008.13 [    14003.5518327986.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:17] 171    -9008.12 [    14003.5623055755.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:18] 172    -9008.12 [    14003.5792508846.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:20] 173    -9008.12 [    14003.5966942310.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:21] 174    -9008.11 [    14003.51249181586.5  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:22] 175    -9008.11 [    14003.51504312403.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:24] 176    -9008.11 [    14003.51917122739.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:25] 177    -9008.11 [    14003.52335304411.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:26] 178    -9008.11 [    14003.53011936573.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:27] 179     -9008.1 [    14003.53632177876.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:29] 180     -9008.1 [    14003.54635749392.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:30] 181     -9008.1 [    14003.55639927995.2  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:31] 182     -9008.1 [    14003.57264723117.4  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:33] 183     -9008.1 [    14003.58770196176.1  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:34] 184     -9008.1 [    14003.511206102771.2  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:35] 185     -9008.1 [    14003.513620511922.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:37] 186     -9008.1 [    14003.517527108019.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:38] 187     -9008.1 [    14003.521176856573.1  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:39] 188     -9008.1 [    14003.527082273823.5  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:41] 189     -9008.1 [    14003.532893112013.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:42] 190     -9008.1 [    14003.542295245772.1  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:44] 191     -9008.1 [    14003.551135294259.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:45] 192     -9008.1 [    14003.565438793274.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:46] 193     -9008.1 [    14003.579434706175.2  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:48] 194     -9008.1 [    14003.5102080569110.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:49] 195     -9008.1 [    14003.5123477232013.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:50] 196     -9008.1 [    14003.5158097760078.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:52] 197     -9008.1 [    14003.5191828261366.7  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:53] 198     -9008.1 [    14003.5246405359288.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:54] 199     -9008.1 [    14003.5298167869967.2  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:56] 200     -9008.1 [    14003.5381921372171.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:57] 201     -9008.1 [    14003.5463245272556.5  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:58] 202     -9008.1 [    14003.5594830108392.9  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:49:59] 203     -9008.1 [    14003.5719995054166.6  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:50:01] 204     -9008.1 [    14003.5922516192036.8  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:50:02] 205     -9008.1 [    14003.51118682167939.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:50:03] 206     -9008.1 [    14003.51436085386592.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:50:05] 207     -9008.1 [    14003.51738657816706.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:50:06] 208     -9008.1 [    14003.52228230296093.0  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
[24-11-05 14:50:07] 209     -9008.1 [    14003.52701436314971.3  849164.8    1365.0    3155.9   31036.6   39410.5  1.10e-05 ]
