[24-11-05 11:39:06] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:39:06] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:41:40] 142    -4477.36 [   669076.3    7162.1  627448.1    1678.6    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:41] 143    -4477.38 [   669076.3    7162.1  627448.1    1681.2    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:43] 144    -4477.38 [   669076.3    7162.1  627448.1    1675.9    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:44] 145    -4477.36 [   669076.3    7162.1  627448.1    1678.6    2798.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:45] 146    -4478.09 [   669076.3    7162.1  627448.1    1678.6    2799.4   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:46] 147    -4476.19 [   669076.3    7162.1  627448.1    1678.6    2796.8   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:48] 148    -4436.03 [   669076.3    7162.1  627448.1    1678.6    2687.8   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:49] 149    -4518.14 [   669076.3    7162.1  627448.1    1678.6    2511.6   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:50] 150    -4447.11 [   669076.3    7162.1  627448.1    1678.6    2620.5   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:51] 151    -4442.63 [   669076.3    7162.1  627448.1    1678.6    2729.5   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:53] 152    -4435.95 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:54] 153    -4435.95 [   669076.3    7162.1  627448.1    1678.6    2683.1   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:55] 154    -4435.95 [   669076.3    7162.1  627448.1    1678.6    2680.8   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:56] 155    -4435.95 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:41:58] 156    -4435.95 [   669076.3    7162.1  627448.1    1678.6    2681.9   20872.8   24302.7  9.06e-06 ]
[24-11-05 11:41:59] 157    -4435.95 [   669076.3    7162.1  627448.1    1678.6    2681.9   20874.4   24302.7  9.06e-06 ]
[24-11-05 11:42:00] 158    -4435.95 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   24302.7  9.06e-06 ]
[24-11-05 11:42:01] 159    -4436.06 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   24303.7  9.06e-06 ]
[24-11-05 11:42:02] 160    -4435.77 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   24301.1  9.06e-06 ]
[24-11-05 11:42:04] 161    -4419.05 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   24124.7  9.06e-06 ]
[24-11-05 11:42:05] 162    -4404.48 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23729.2  9.06e-06 ]
[24-11-05 11:42:06] 163    -4452.89 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23089.2  9.06e-06 ]
[24-11-05 11:42:07] 164    -4412.08 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23484.7  9.06e-06 ]
[24-11-05 11:42:09] 165    -4406.22 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23880.3  9.06e-06 ]
[24-11-05 11:42:10] 166    -4404.43 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  9.06e-06 ]
[24-11-05 11:42:11] 167    -4404.43 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23745.9  9.06e-06 ]
[24-11-05 11:42:12] 168    -4404.44 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23756.9  9.06e-06 ]
[24-11-05 11:42:14] 169    -4404.43 [   669076.3    7162.1  627448.1    1678.6    2681.9   20871.8   23751.4  9.06e-06 ]
